# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 2.3954269111170623,6.311845084717921,1.7283198724989723,-3.9870609387255516,-161.17216375701747,0.0,0.5510678858467005,1.8146584580292278,52.69434099269738,162.30377534164103
 2.4028399894742387,6.324438176377468,1.6987668351510548,-3.986607981731102,-160.77244616430642,0.0,0.5739214448634339,1.742398735837363,53.920594583236294,165.4175946153074
 2.4103048883517832,6.336897173827278,1.6690108806816926,-3.9861162163726402,-160.36054788992766,0.0,0.5980075978374646,1.6722195564341222,55.17801126788397,168.44390061734836
 2.417823993319479,6.349221309235852,1.6390428729911102,-3.9855817706141643,-159.9359708182024,0.0,0.6234045970806897,1.6040946837460777,56.46643763444757,171.35368798534878
 2.4253999166122844,6.361409854762844,1.6088528164701286,-3.98500029028171,-159.49819224032407,0.0,0.6501960198312007,1.5379977260697673,57.785508242153284,174.1135115449738
 2.4330355241451156,6.373462124888784,1.5784297548188864,-3.984366865430237,-159.04666360679562,0.0,0.6784711042642924,1.4739021215713541,59.13460475633087,176.68489486616556
 2.4407339665869086,6.385377478902412,1.5477616548696609,-3.9836759423874963,-158.58080923592254,0.0,0.7083250953709805,1.4117811249878938,60.512808194042904,179.0236724028875
 2.4484987152494435,6.397155323557093,1.5168352726610568,-3.982921219050452,-158.10002498188538,0.0,0.7398595975974537,1.3516077959214159,61.91884308592564,181.07925355869784
 2.4563336037174213,6.408795115908569,1.4856359983999787,-3.9820955191121987,-157.6036768672176,0.0,0.7731829308187367,1.2933549877272676,63.35101216774797,182.7938058947245
 2.464242876363544,6.420296366347138,1.454147676171797,-3.9811906400290535,-157.09109968618074,0.0,0.8084104840945556,1.2369953379810883,64.80711994270693,184.10135041592935
 2.4722312451706423,6.431658641838201,1.4223523932654012,-3.9801971684310877,-156.56159558757355,0.0,0.8456650608781163,1.182501259968842,66.28438313171687,184.9267634835873
 2.480303956642279,6.442881569385998,1.3902302327078764,-3.9791042539282926,-156.01443264778356,0.0,0.8850772071044322,1.129844935530023,67.7793256593478,185.1846845862631
 2.4884668710518216,6.453964839736244,1.3577589809455317,-3.977899330217716,-155.4488434478392,0.0,0.926785511712144,1.0789983090613917,69.28765531133489,184.77832503349433
 2.4967265568967503,6.464908211334267,1.3249137804365565,-3.9765677685116567,-154.86402367146363,0.0,0.970936866134818,1.0299330830653066,70.80411862573081,183.5981831351376
 2.5050904042455606,6.475711514556113,1.2916667140490798,-3.9750924426192005,-154.2591307452347,0.0,1.0176866666817344,0.9826207149402837,72.3223297846239,181.5206681299663
 2.5135667617689634,6.486374656230943,1.2579863043046218,-3.973453178616888,-153.63328254645094,0.0,1.067198939385051,0.9370324155084218,73.8345683338447,178.4066499136658
 2.52216510375174,6.496897624473789,1.223836905292284,-3.9716260507832115,-152.98555620990996,0.0,1.119646363402397,0.8931391488301593,75.33153924773619,174.09995053582674
 2.5308962354596285,6.507280493848428,1.189177957910982,-3.96958247119183,-152.3149870710041,0.0,1.175210162836529,0.8509116340403017,76.8020872139629,168.4258141356488
