# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-124.98696933050692,114.71785715694217,0.9207253904967458,1.0861001665876557,0.0,0.0
 0.07701267220465803,0.014827379200255274,0.19253168051164515,2.500000000000001,-124.98696933050692,114.2589857283144,0.9207253904967458,1.0861001665876557,0.0,0.0
 0.10894966988584236,0.02967507642058507,0.464905855226251,8.528484030766455,-125.76971014481487,113.80011429968664,0.9109618557644412,1.0977408040437013,-24.50890412811403,-767.4141562327709
 0.13348399269226474,0.04454494076267147,0.6060841564452677,5.754318239509764,-126.54525927599849,113.34124287105887,0.900987151993233,1.109893740202314,-31.61078205837417,-289.46704526122363
 0.15419307012059277,0.05943875718303512,0.7191926570321443,5.461783653971713,-127.31350672330498,112.8823714424311,0.8908239145043255,1.1225563028990106,-37.09713530046598,-264.92504367128413
 0.172462455906036,0.07435824674285356,0.8166388150665722,5.333849707857803,-128.07435459903564,112.42350001380333,0.8804942467439426,1.1357257627724295,-41.64605666912291,-248.99147798835386
 0.18900271630929258,0.08930506693072736,0.9036629305383221,5.261350991464196,-128.82771684602378,111.96462858517556,0.8700196566530677,1.1493993179958275,-45.54718176261752,-235.85632864199155
 0.2042359537930476,0.1042808120543897,0.9830966752558495,5.214501828796202,-129.5735189277432,111.50575715654779,0.8594210009221166,1.1635740794407503,-48.958869217050726,-223.963386513963
 0.21843718886427704,0.11928701369731962,1.0566828566433117,5.181674764087376,-130.31169749439175,111.04688572792003,0.8487184372985689,1.1782470558586582,-51.979885055490996,-212.72909175066036
 0.23179744712671294,0.13432514123615322,1.125586589977475,5.157365372785881,-131.04220002832383,110.58801429929225,0.8379313844118949,1.193415139476908,-54.677276410592654,-201.896647663296
 0.24445580575214682,0.14939660241482833,1.1906331321971468,5.1386237461290305,-131.76498447207274,110.12914287066448,0.8270784889207176,1.2090750918996014,-57.09938113908706,-191.34429669481653
 0.2565172461814929,0.16450274397134157,1.2524326298340982,5.123724483734966,-132.48001884194957,109.67027144203672,0.816177599845892,1.225223530012116,-59.282668107959125,-181.01378369038045
 0.2680633151426218,0.1796448523131315,1.3114514033102913,5.111590245553369,-133.18728083042376,109.21140001340895,0.805245749208686,1.2418569126042562,-61.25565253899372,-170.87932158355008
 0.2791588467070804,0.19482415423706806,1.3680554046242543,5.101513251990382,-133.8867573997805,108.75252858478117,0.7942991390940155,1.2589715269496686,-63.04128515999088,-160.93258899978485
 0.28985639043511535,0.21004181769018512,1.4225380928554927,5.093009163258305,-134.57844436996683,108.29365715615342,0.7833531342867021,1.2765634759482645,-64.65848495422931,-151.17487110618316
 0.30019923555354466,0.22529895256733157,1.4751390649716534,5.085735260835924,-135.26234600291323,107.83478572752564,0.7724222602222522,1.2946286655595165,-66.12316293200558,-141.61267629991423
 0.31022353975290773,0.24059661154205986,1.526056938266128,5.079442151975983,-135.9384745856359,107.37591429889787,0.7615202058108423,1.3131627924898355,-67.44892905042039,-132.2551762245036
 0.31995986681280897,0.2559357909271762,1.5754585164142951,5.073943987730857,-136.60685001429763,106.91704287027011,0.7506598304709948,1.3321613324807309,-68.64759416458027,-123.11265909467505
 0.3294343221715115,0.2713174315615081,1.6234854724608,5.069099407639418,-137.26749938096535,106.45817144164234,0.7398531752047861,1.351619528730423,-69.72953501341757,-114.19557197485966
 0.3386694079597916,0.28674241971958947,1.6702593253282563,5.064798956910059,-137.92045656494932,105.99930001301456,0.7291114769789387,1.3715323809515156,-70.703965177306,-105.51392658691329
 0.34768467785687396,0.3022115880410956,1.7158852145416625,5.060956547531915,-138.56576183013834,105.5404285843868,0.7184451862366047,1.391894634632114,-71.57913989883595,-97.0769296450204
 0.35649724625978635,0.31772571647702696,1.7604548102916546,5.057503523633661,-139.20346142976703,105.08155715575903,0.7078639869497936,1.4127007708204353,-72.36251345498215,-88.89276319118527
 0.3651221895474336,0.3332855332497801,1.8040485895180471,5.054384448976973,-139.8336072197631,104.62268572713126,0.6973768188490902,1.4339449964086006,-73.06086184921043,-80.96846216119046
 0.3735728661583397,0.34889171582439193,1.8467376392644268,5.051554060332511,-140.45625628173818,104.16381429850348,0.686991901588694,1.455621234671709,-73.68037976645627,-73.30985976274523
 0.3818611747158531,0.36454489188842826,1.8885851021854803,5.0489750267704805,-141.0714705564611,103.70494286987572,0.676716760310398,1.477723116450253,-74.22675814418119,-65.92157783865595
 0.3899977642695383,0.3802456403380959,1.9296473474634743,5.046616276643372,-141.67931648862975,103.24607144124795,0.6665582524751775,1.5002439716058271,-74.7052469782483,-58.807050658022874
 0.3979922070937364,0.3959944922683588,1.9699749284081813,5.04445173122521,-142.27986468340535,102.78720001262018,0.6565225954991515,1.5231768211110905,-75.12070671864782,-51.96856735806349
 0.40585314189492155,0.4117919319649482,2.009613372471637,5.042459334159533,-142.8731895753659,102.32832858399242,0.6466153950585699,1.5465143695030967,-75.47765080955514,-45.40733385213987
 0.41358839340403514,0.42763839789632724,2.0486038382473977,5.0406202991360525,-143.45936911004193,101.86945715536464,0.6368416737755408,1.5702489977947907,-75.78028122103268,-39.12353866205746
 0.4212050729532189,0.44353428370381603,2.0869836658931327,5.038918520583936,-144.0384844384954,101.41058572673687,0.6272058999578468,1.5943727571236301,-76.03251846344929,-33.11643095758726
